subject,session,isLong,longProp,onlineErr
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,0,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,1,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,1,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,0,0.32,0
1,2,1,0.32,0
